"N(soort,ev,basis,zijd,stan)","Noun, ev, zijdig"
"N(soort,ev,basis,onz,stan)","Noun, ev, onzijdig"
"N(soort,ev,dim,onz,stan)","Noun, ev, dim"
"N(soort,mv,basis)","Noun, mv"
"N(soort,mv,dim)","Noun, mv, dim"
"ADJ(vrij,basis,zonder)","Adj"
"LID(onbep,stan,agr)","Lid: een"
"LID(bep,stan,rest)","Lid: de"
"LID(bep,stan,evon)","Lid: het"
"WW(pv,tgw,ev)",""
"WW(pv,tgw,met-t)",""
"WW(pv,tgw,mv)",""
"WW(inf,vrij,zonder)","Inf"
"WW(vd,vrij,zonder)","Vd"
"VNW(pers,pron,nomin,vol,1,ev)","ik"
"VNW(pers,pron,nomin,red,3,ev,masc)","ie"
"VNW(pers,pron,nomin,vol,3v,ev,fem)","zij (ev, vr)"
"VNW(aanw,det,stan,prenom,zonder,agr)","zoâ€™n"